编号	价格	描述	入手条件	几部分	已购	衣服说明中的缩放比例	衣服说明中的坐标	衣服坐标
1001	200	这个发型怎么说呢……有点乡村女教师的感觉？		1	NO	1.0 	286,367	317,101
1002	200	简单的马尾辫，但是很有青春活力。		1	NO	1.0 	286,367	317,101
1003	800	看到这个发型你会想到什么？传说根据想到的不同东西可以判断你的年龄。不知道准不准。		1	NO	1.0 	286,367	317,101
1004	500	这个颜色看上去很神秘的样子。一个卖盗版游戏的告诉暖暖这个发型光彩照人。		1	NO	1.0 	286,367	317,101
1005	0	总是被人说：“头发后面的蝴蝶结好可爱！”可爱的蝴蝶结，可怜的发型。		1	YES	1.0 	286,367	317,101
1006	500	如果你想变得淑女的话，可以试试这款发型。		1	NO	1.0 	286,367	317,101
1007	3600	帅气的短发。据说会被女孩子表白的超强发型。等等，女孩子？！		1	NO	1.0 	286,367	317,101
1008	2500	被大海选中的女孩才配拥有的颜色。		1	NO	1.0 	286,367	317,101
1009	4200	有很多小辫子的复杂发型。据说能得到希腊女神的佑护。		1	NO	1.0 	286,367	317,101
1010	200	梳头的时候要默念：“发梢的小波浪啊，给予我更强的气场吧！”		1	NO	1.0 	286,367	317,101
1011	2500	盘来盘去盘成一个团子头的盘发。		1	NO	1.0 	286,367	317,101
1012	2500	如果梳这个出去女人味一定很足。现代的理发店很少给客人做这种发型。		1	NO	1.0 	286,367	317,101
1013	3600	银色的头发，很灵动的质感。		1	NO	1.0 	286,367	317,101
1014	800	给想变得成熟的女孩们的推荐发型。当然推荐也不意味着能得高分。		1	NO	1.0 	286,367	317,101
1015	1200	自由洒脱的街头女孩。什么？你敢说不可爱？！		1	NO	1.0 	286,367	317,101
1016	1600	很文静。梳这个发型的过程中就让人不知不觉安静了下来。		1	NO	1.0 	286,367	317,101
1017	1600	这好像是妈妈最喜欢的发型，觉得有点紧张。		1	NO	1.0 	286,367	317,101
1018	500	点点纹样的蝴蝶结给整个人增色不少。什么？蝴蝶结是搞活动赠送的，所以只要五百？		1	NO	1.0 	286,367	317,101
1019	1200	吓，好有水草的感觉。需要一点勇气来做这个发型。		1	NO	1.0 	286,367	317,101
1020	800	简单就是最美的。其实理发店老板想说：更多金币，更多美丽，就在理发店！		1	NO	1.0 	286,367	317,101
1021	1200	乍一看很新潮前卫。内在却有雍容华贵的高傲。现在打折促销所以才这么便宜。		1	NO	1.0 	286,367	317,101
1022	3600	要走萌路线！只要这个价格就能成为萌系少女，你还在等什么？		1	NO	1.0 	286,367	317,101
1023	1200	看上去很典雅。很多时候不要太张扬才会有好的效果。		1	NO	1.0 	286,367	317,101
1024	2000	呀呀，小萝莉，偶尔也要装下嫩的嘛。		1	NO	1.0 	286,367	317,101
1025	2000	很有青春的感觉。什么！？是随便乱绑的？好吧，青春就是乱绑的年纪。		1	NO	1.0 	286,367	317,101
1026	2500	很多很多很多年以前，它是智慧，美丽，勇敢的象征。		1	NO	1.0 	286,367	317,101
1027	800	大红的蝴蝶结看上去很有存在感。哎呀，这次蝴蝶结不附赠了。		1	NO	1.0 	286,367	317,101
1028	4200	知名发型师的作品，名叫‘高贵的少女’。不是海草公主吗？		2	NO	0.7 	296,332	386,94
1029	800	学生时代可以增加被表白几率的文静发型。		2	NO	1.0 	346,332	386,94
1030	2000	看起来好知性，不会变成知心姐姐吧。		1	NO	1.0 	346,353	386,94
1031	5000	My heart is rock！让人很想立刻站到聚光灯底下。		2	NO	1.0 	343,376	386,94
1032	3600	好像在哪里看到过……不管怎么说是个让人焕发光芒的漂亮发型。		2	NO	1.0 	344,327	386,94
1033	3600	金发女郎。做金发女郎的代价是三千六。什么？你起初不知道颜色？不关我的事。		2	NO	0.9 	328,318	386,94
1034	5000	暖暖看到吉普赛女郎后吵着要梳的发型。把理发店老板都难住了。拥有神奇的魔力。		2	NO	0.7 	292,323	386,94
1035	1200	这样的话一定是个乖乖女。或者想要装个乖乖女。但是，传说这是侦探套装的一部分。		1	NO	1.0 	337,327	386,94
1036	2500	想做个甜美的少女吗，试试这个吧！理发店这个月的推荐发型。		2	NO	0.9 	326,315	386,94
1037	6000	暖暖曾被公主接见时偷学的发型。暖暖怎么会认识公主？暖暖的故事多着呢。期待续作吧！		2	NO	0.9 	330,317	386,94
1038	1600	相传嫦娥奔月时留下了一盒月饼还有这个发型的制作方法。		1	NO	0.9 	329,347	386,94
1039	4200	怎么样都会瞬间御姐的发型。很受欢迎。		2	NO	1.0 	349,319	386,94
1040	6000	一样花开一千年，独看沧海化桑田。一笑忘穿一千年，几回知君到人间。千载相逢如初见。		2	NO	0.7 	284,329	386,94
1041	2500	这么长的双马尾很讨人喜欢。转起圈来会是什么感觉？		2	NO	0.8 	319,319	386,94
1042	1200	啊大辫子，曾经的流行，挺让人怀念的。你的妈妈曾经有一头大辫子吗？		2	NO	0.9 	330,324	386,94
1043	2000	这个发色上街一定很拉风。回头率百分之三百。		2	NO	1.0 	349,315	386,94
1044	3000	飘逸的长发。似乎会降低存在感的普通发型。不告诉你为什么普通发型这么贵。		2	NO	0.9 	319,328	386,94
1045	1200	渐变的发色，高科技的产物。去理发店太多次之后老板赠送的绝活发型。		2	NO	0.7 	285,323	386,94
1046	3000	卷卷卷卷卷，一定很有弹性！传说梳这个发型去女仆咖啡应聘百发百中。		1	NO	1.0 	349,332	386,94
1047	500	是不是这样就能做个甜美的御姐了？真的吗？……骗你的。		1	NO	1.0 	343,317	386,94
1048	3000	长短正合适。什么场合都合适。不信你试试？		2	NO	1.0 	346,332	386,94
1049	3000	大概会有母性的光辉吧。温柔的感觉。		2	NO	0.9 	329,322	386,94
1050	3600	气场会立即升华！战斗系女高中生华丽登场！		2	NO	1.0 	347,321	386,94
1051	5000	有点羞涩的发型。价格贵的离谱。原来是理发店老板初恋女友的发型。		2	NO	1.0 	340,308	386,94
1052	4200	很方便，每天不需要太多打理。简单的往往是最好的，信不信由你。		1	NO	1.0 	340,325	386,94
