	1100	1101	1102	1103	1104	1105	1106	1107	1108	1109	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	3100	3101	3102	3103	3104	3105	3106	3107	3108	3109	3110	3111	3112	3113	4100	4101	4102	4103	4104	4105	4106	4107	4108	4109	4110	4111	4112	4113	4114	4115	4116	4117	4118	4119	4120	4121	4122	4123	5100	5101	5102	5103	5104	5105	5106	5107	5108	5109	5110	5111	5112	5113	5114	5115	5116	5117	5118	5119	5120	5121	5122	5123	5124	5125	5126	6100	6101	6102	6103	7100	7101	7102	7103	7104	8100	8101	8102	8103	8104	8105	8106	8107	8108	8109	8110	8111	8112	8113	8114	8115	8116	8117	8118
1	A	C	B	B	A	A	C	B	A	A	F	F	F	F	F	C	A	A	A	C	F	C	A	B	B	C	B	C	B	B	C	B	B	B	C	C	C	A	C	C	B	F	C	B	A	C	A	A	C	B	B	B	C	A	C	A	A	A	B	A	A	A	A	F	B	B	C	C	C	C	A	B	B	B	C	B	B	B	C	C	B	C	C	A	A	B	C	C	C	C	C	C	C	C	B	C	B	C	C	F	F	F	×	F	B	F	A	F	C	F	F	B	A	A	A	F	A	F
2	B	A	B	B	A	A	A	B	A	A	F	F	C	F	A	F	A	A	A	F	F	A	A	A	A	C	A	C	B	B	C	A	B	B	C	C	C	A	C	C	B	F	A	B	A	A	A	A	C	A	A	A	B	A	A	A	A	A	A	A	B	A	A	F	B	B	B	A	B	B	A	C	A	A	B	A	A	B	B	A	B	B	B	A	B	A	A	A	B	B	B	B	B	B	A	B	A	B	A	F	F	F	×	F	B	F	B	F	C	F	F	A	B	B	B	C	A	F
3	B	A	B	B	C	A	A	B	A	A	F	F	B	F	A	F	A	A	A	F	F	B	B	A	A	C	A	C	B	B	C	A	B	B	C	C	C	A	C	C	C	C	A	C	A	B	B	A	C	C	B	B	B	A	A	A	A	A	A	A	C	A	A	F	C	C	A	B	A	A	A	C	A	B	A	B	A	A	A	A	B	B	B	A	C	B	A	A	B	B	A	A	A	A	B	B	B	C	A	F	F	F	×	F	B	F	F	F	C	A	C	C	F	F	F	A	A	F
4	B	A	F	F	B	B	A	A	B	B	A	C	C	A	B	B	C	C	B	B	B	C	C	B	B	A	C	C	F	F	C	C	C	B	C	C	C	C	C	A	C	C	B	C	B	C	B	B	B	B	B	B	C	B	B	B	C	B	C	B	B	B	F	F	C	C	B	C	B	B	B	B	B	C	B	C	C	B	B	B	C	C	C	C	B	C	B	B	A	C	B	B	B	A	A	C	A	C	B	F	F	F	×	F	B	F	A	F	F	F	F	B	A	A	A	F	C	F
5	A	A	B	B	B	B	A	A	A	A	F	F	C	F	C	B	B	B	A	B	F	B	F	B	B	C	C	B	A	B	B	C	A	C	B	B	B	B	C	C	C	C	C	C	A	C	A	A	B	A	A	A	B	A	C	A	B	A	B	A	A	A	B	F	C	C	A	C	C	C	A	A	C	A	C	A	B	B	C	A	B	B	C	B	A	A	A	A	A	A	B	A	B	F	A	A	A	B	C	F	F	F	×	F	C	F	C	C	C	F	F	B	C	C	C	C	C	F
6	A	A	C	C	A	C	A	C	A	A	B	F	B	F	F	B	F	F	F	B	C	F	F	F	F	F	B	C	C	B	C	B	F	B	F	F	C	B	C	F	F	F	A	F	F	B	F	F	F	F	F	F	C	F	A	F	F	F	C	F	F	F	B	F	F	F	C	B	B	B	C	C	F	C	B	C	C	F	B	C	C	C	C	A	C	C	C	C	C	C	B	C	C	A	F	C	F	C	A	A	F	F	×	F	B	F	F	A	A	F	F	A	F	F	F	F	C	F
7	B	A	A	A	B	B	A	A	A	B	F	F	B	F	C	B	B	B	A	B	F	B	B	B	B	C	B	B	A	C	B	B	A	B	C	C	B	C	C	C	C	C	A	C	A	C	A	A	B	A	A	A	A	A	A	A	B	A	B	A	A	A	C	F	C	C	A	F	C	F	A	F	A	C	F	C	B	C	F	B	B	B	C	C	C	C	B	B	F	A	B	C	C	C	C	B	C	C	A	F	F	F	×	F	B	F	C	C	C	F	F	B	C	C	C	C	B	F
8	A	C	C	C	C	B	C	A	A	A	F	F	A	F	A	A	A	A	A	A	A	A	F	A	A	B	A	C	C	C	C	A	B	A	C	C	B	A	C	B	F	F	A	F	A	B	A	A	B	A	A	A	B	A	A	A	A	B	B	A	A	A	C	F	F	F	B	C	B	C	B	C	C	B	C	B	A	B	C	B	B	B	A	A	F	A	B	B	A	A	A	A	B	C	F	B	F	A	A	F	F	F	×	F	A	F	C	C	C	C	C	B	C	C	C	C	B	F
9	A	A	B	B	A	B	A	C	A	A	C	C	A	C	C	A	B	B	B	A	A	C	F	B	B	C	C	F	F	C	F	C	C	B	C	C	C	C	F	C	C	C	C	C	C	A	C	B	C	C	C	C	C	C	C	B	B	C	C	B	C	C	B	F	C	C	C	B	A	B	B	C	C	C	B	C	C	C	B	A	B	C	C	C	F	C	A	A	C	C	A	C	C	A	F	C	F	C	C	F	F	F	×	F	B	F	F	C	F	A	A	C	F	F	F	A	C	F
10	A	A	A	A	C	A	A	B	A	A	F	A	F	A	C	B	B	B	C	B	C	F	F	C	C	B	B	C	A	A	C	B	C	B	C	C	C	C	C	B	C	C	C	C	C	F	C	C	C	C	C	C	B	C	C	C	B	C	A	C	C	C	B	F	C	C	C	B	C	B	C	A	B	C	B	C	C	A	B	A	C	B	B	C	A	A	A	A	C	A	A	A	A	B	C	A	C	B	C	F	F	F	×	F	B	F	F	F	C	A	C	C	F	F	F	C	C	F
11	A	A	C	C	A	C	A	B	A	A	F	F	A	F	A	A	A	A	A	A	B	A	B	A	A	B	C	C	C	F	C	C	B	C	C	C	C	A	A	B	B	C	B	B	A	A	A	A	B	A	A	A	C	A	B	A	A	A	C	A	A	A	B	F	B	B	B	A	B	A	B	B	A	A	A	A	A	A	A	C	B	B	B	A	B	C	C	C	B	C	A	A	A	A	C	C	C	C	B	F	F	F	×	F	C	F	F	C	C	F	C	A	F	F	F	C	A	F
12	A	A	F	F	B	C	A	C	A	A	F	B	B	F	C	B	B	B	F	B	C	F	C	C	C	F	C	C	C	F	C	C	F	B	C	C	C	C	C	F	C	A	A	C	C	C	C	F	B	F	C	C	C	C	A	F	B	B	F	F	B	C	B	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	A	C	C	C	C	C	C	C	C	A	A	F	C	F	C	A	F	F	F	×	F	B	F	C	C	F	F	F	B	C	C	C	C	C	F
13	A	A	A	C	A	A	A	C	A	A	F	F	F	F	A	A	A	A	A	A	A	A	B	A	A	C	B	C	C	B	C	B	C	B	C	C	C	C	C	C	B	C	A	B	A	A	A	A	B	A	A	A	B	A	A	A	A	A	C	A	A	A	A	F	B	B	A	C	A	A	B	B	A	C	A	C	A	A	A	A	B	C	C	A	B	B	A	A	B	B	A	B	A	A	C	B	C	C	A	F	F	F	×	F	B	F	F	C	C	F	C	A	F	F	F	B	B	F
14	B	A	B	B	C	B	A	B	A	A	F	A	A	A	C	B	B	B	C	B	A	F	F	C	C	A	A	C	B	A	C	A	C	A	C	C	C	B	C	A	C	C	A	C	C	B	C	C	C	C	C	C	A	C	A	C	B	C	C	C	C	C	B	F	C	C	B	C	B	B	C	C	B	C	B	C	C	B	B	B	A	B	C	B	F	C	B	B	C	C	B	B	B	A	F	B	F	A	A	A	A	A	×	A	A	F	F	F	C	A	C	C	F	F	F	A	C	A
15	B	A	F	F	C	B	A	A	A	B	B	F	C	C	B	F	C	C	C	F	B	F	B	C	C	B	B	C	B	F	C	B	B	B	C	C	B	C	C	B	B	F	C	B	C	F	F	C	B	B	F	F	C	C	C	C	C	B	B	C	F	C	C	F	B	B	B	A	C	C	A	C	C	C	C	C	B	C	C	C	C	C	B	B	C	C	C	C	B	C	F	C	C	C	F	C	F	C	C	F	F	F	×	F	B	F	C	F	F	F	F	F	C	C	C	F	C	F
16	B	A	C	C	A	A	A	A	A	A	F	F	B	F	A	A	A	A	A	A	C	A	B	A	A	C	A	C	A	F	C	A	A	B	C	C	C	B	C	C	B	C	B	B	A	C	A	A	B	A	A	A	A	A	B	A	A	A	A	A	A	A	C	F	B	B	B	B	C	C	A	C	C	C	C	C	A	B	C	C	C	B	A	A	F	B	C	C	B	A	B	B	B	C	F	B	F	B	B	F	F	F	×	F	B	F	A	C	C	F	F	F	A	A	A	F	C	F
17	A	A	C	C	B	A	A	A	A	A	F	F	F	F	C	B	B	B	A	B	C	B	B	B	B	C	B	C	A	F	C	B	A	B	C	C	C	C	C	C	C	C	C	C	A	C	A	A	B	A	A	A	B	A	C	A	B	A	A	A	A	A	C	F	C	C	A	F	C	F	A	C	C	B	F	B	B	B	F	C	C	C	B	C	C	B	C	C	B	A	B	A	B	C	F	B	F	C	C	F	F	F	×	F	B	F	C	C	F	F	F	B	C	C	C	C	C	F
18	B	A	A	A	A	A	A	C	A	A	F	F	B	F	A	A	A	A	A	A	A	A	B	A	A	B	A	C	C	B	C	A	C	A	C	C	C	A	C	B	B	C	A	B	A	A	A	A	B	A	A	A	C	A	A	A	A	A	A	A	A	A	A	F	B	B	B	B	A	C	B	F	C	A	C	A	A	A	C	A	A	B	C	A	C	A	A	A	C	B	B	B	B	C	F	A	F	B	A	F	F	F	×	F	A	F	A	F	C	F	F	B	A	A	A	B	A	F
19	A	A	B	A	A	A	A	B	A	A	F	F	C	F	A	A	A	A	A	A	A	A	B	A	A	B	A	C	C	B	C	A	C	A	C	C	C	A	B	B	B	C	A	B	A	A	A	A	B	A	A	A	C	A	A	A	A	A	A	A	A	A	A	F	B	B	A	B	A	A	B	C	A	A	A	A	A	A	A	A	B	B	C	A	C	A	A	A	C	B	C	B	B	B	F	B	F	C	A	F	F	F	×	F	A	F	F	C	C	F	C	A	F	F	F	B	A	F
20	A	B	B	B	C	A	A	B	A	A	F	A	B	A	C	B	B	B	C	B	A	F	F	C	C	B	A	C	C	C	C	A	C	A	C	C	C	A	C	B	C	C	B	C	C	B	C	C	C	C	C	C	C	C	B	C	B	C	B	C	C	C	B	F	C	C	B	C	B	B	A	C	B	A	B	A	A	C	B	C	A	C	C	A	C	A	C	C	C	F	A	A	B	B	F	C	F	C	B	F	F	F	×	F	A	F	F	F	C	A	C	C	F	F	F	A	A	F
21	A	A	A	B	C	A	A	A	A	A	B	C	B	F	A	F	F	F	F	F	C	B	B	F	F	C	B	B	A	F	B	B	A	B	C	C	C	B	C	C	F	A	B	F	C	B	F	F	A	F	F	F	A	C	B	F	F	B	B	F	F	C	C	F	F	F	B	C	C	C	B	C	A	C	C	C	B	C	C	C	C	C	B	C	C	B	C	C	B	A	B	B	B	C	F	B	F	A	B	F	F	F	×	F	B	F	A	A	A	B	F	F	A	A	A	F	C	F
22	B	A	F	F	C	B	A	A	B	B	A	B	F	A	C	F	C	C	C	F	B	C	C	C	C	A	C	F	F	F	F	C	C	B	F	F	F	C	F	A	B	C	C	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	B	B	C	C	C	C	B	C	C	C	C	C	C	C	C	C	F	C	C	C	F	C	C	C	B	C	C	A	C	F	B	C	B	C	C	F	F	F	×	F	B	F	F	F	F	F	F	F	F	F	F	F	C	F
23	A	B	A	A	A	B	A	C	A	A	B	A	B	A	A	B	C	C	C	B	A	C	B	B	B	B	A	C	B	A	C	A	C	A	C	C	C	A	C	B	C	C	A	C	C	A	C	C	B	C	C	C	B	C	A	C	C	C	B	C	C	C	A	F	C	C	C	B	C	A	B	C	A	A	A	A	A	B	A	C	A	B	C	A	C	B	C	C	C	C	A	B	B	A	A	B	A	C	A	A	F	F	×	F	A	F	B	B	A	C	C	A	B	B	B	B	B	F
24	A	B	C	C	C	B	A	B	A	A	F	A	F	A	C	B	B	B	C	B	B	F	F	C	C	B	B	C	A	C	C	B	A	B	C	C	C	C	C	B	C	C	B	C	C	B	C	C	C	B	C	C	B	C	B	C	B	C	B	C	C	C	C	F	C	C	C	B	A	C	B	C	C	C	C	C	F	B	C	C	C	C	A	C	F	C	C	C	B	A	A	A	A	A	F	B	F	B	B	F	F	F	×	F	B	F	F	F	F	A	C	C	F	F	F	B	C	F
25	A	A	A	A	A	B	A	C	A	A	F	F	B	F	A	A	A	A	A	A	A	A	B	A	A	B	A	C	B	A	C	A	C	A	C	C	C	A	C	B	B	C	A	B	A	A	A	A	B	A	A	A	B	A	A	A	A	A	B	A	A	A	A	F	B	B	B	A	C	B	B	C	B	A	B	A	A	B	B	C	A	B	C	A	B	B	C	C	C	C	C	B	B	C	F	B	F	C	A	F	F	F	×	F	A	F	A	F	A	F	F	B	A	A	A	A	B	F
26	B	A	A	A	A	A	A	C	A	A	F	F	C	F	A	A	A	A	A	A	F	A	B	A	A	F	C	F	A	B	F	C	B	C	C	C	C	B	C	F	B	C	B	B	A	B	A	A	B	A	A	A	B	A	B	A	A	A	B	A	A	A	B	F	B	B	C	C	F	C	B	A	C	F	C	F	C	C	C	C	B	B	C	C	A	C	C	C	C	B	C	C	C	C	F	C	F	C	B	F	F	F	×	F	C	A	F	C	F	F	C	A	F	F	F	F	C	F
27	A	A	C	C	A	A	A	A	A	A	C	F	B	F	A	A	A	A	A	A	B	A	B	A	A	A	B	C	B	C	C	B	B	A	C	C	C	B	C	A	B	C	C	B	A	C	A	A	B	A	A	A	B	A	C	A	A	A	A	A	A	A	B	F	B	B	C	A	F	C	A	C	B	A	C	A	A	B	C	A	A	A	B	A	A	A	A	A	C	A	A	A	A	F	F	B	F	C	C	F	F	F	×	F	A	F	A	C	C	F	C	B	A	A	A	F	A	F
28	B	B	B	A	A	A	A	C	A	A	F	F	F	F	A	A	A	A	A	A	C	A	B	A	A	C	B	F	C	A	F	B	B	A	F	F	F	B	F	C	B	C	B	B	A	C	A	A	B	A	A	A	B	A	B	A	A	A	B	A	A	A	B	F	B	B	B	C	A	A	C	C	B	C	A	C	B	C	A	B	B	C	F	B	C	B	B	B	C	B	C	C	C	A	F	C	F	C	B	F	F	F	×	F	A	F	A	B	A	F	C	A	A	A	A	C	C	F
29	A	A	A	A	B	A	A	B	A	A	F	F	C	F	C	B	B	B	A	B	F	B	B	B	B	F	C	F	A	B	F	C	C	C	C	C	B	C	C	F	C	C	B	C	A	C	A	A	B	A	A	A	B	A	B	A	B	A	B	A	A	A	B	F	C	C	C	C	F	C	B	A	C	C	C	C	C	C	C	C	C	B	F	C	A	C	C	C	F	B	C	C	B	C	F	B	F	C	B	F	F	F	×	F	C	F	C	C	F	F	F	B	C	C	C	C	C	F
30	B	A	B	B	A	A	A	B	A	A	F	F	F	F	A	A	A	B	B	B	F	B	B	A	A	C	B	C	A	B	C	B	B	C	C	C	B	B	C	C	B	C	B	B	A	A	A	A	B	A	A	A	A	A	B	A	A	A	A	A	A	A	B	F	B	B	C	C	F	C	B	A	B	F	C	F	F	A	C	B	F	A	F	F	A	F	B	B	C	A	F	C	C	C	F	B	F	A	B	F	F	F	×	F	C	F	F	C	C	F	C	A	F	F	F	B	C	F
31	B	A	B	A	A	A	A	B	A	A	C	F	A	F	A	A	A	A	A	A	A	A	F	A	A	B	A	C	B	C	C	A	B	A	B	B	C	B	C	B	B	C	B	B	A	A	A	A	B	A	A	A	A	A	B	A	A	A	B	A	A	A	A	F	B	B	A	C	A	A	C	C	A	A	A	A	B	A	A	A	B	B	C	B	C	B	A	A	B	B	A	B	A	A	F	B	F	A	B	F	F	F	×	F	A	F	A	F	B	F	F	B	A	A	A	B	B	F
32	B	A	A	A	A	A	A	B	A	A	B	F	B	F	A	A	A	A	A	A	B	A	B	A	A	C	A	C	B	B	C	A	B	B	C	C	C	A	C	C	B	C	B	B	A	A	A	A	B	A	A	A	B	A	B	A	A	A	A	A	A	A	A	F	B	B	B	C	C	B	A	C	B	A	B	A	A	C	B	B	B	B	F	A	F	A	B	B	B	B	C	B	B	C	F	B	F	B	B	F	F	F	×	F	B	F	C	C	C	C	C	B	C	C	C	B	A	F
33	A	B	F	F	C	C	A	B	A	A	F	A	B	A	C	B	B	B	C	B	A	F	F	C	C	B	F	C	F	F	C	F	C	C	C	C	C	C	C	B	C	C	B	C	C	C	C	C	C	C	C	C	B	C	B	C	B	C	C	C	C	C	F	F	C	C	C	C	B	F	C	C	F	F	F	F	C	C	F	F	F	C	C	C	C	C	F	F	B	F	A	B	B	B	F	C	F	C	B	F	F	F	×	F	C	F	F	F	C	A	C	C	F	F	F	C	C	F
34	A	A	A	A	A	B	A	B	A	A	F	F	F	F	A	A	A	A	A	A	F	A	B	A	A	C	B	C	A	F	C	B	B	F	C	C	C	C	C	C	B	C	C	B	A	C	A	A	B	A	A	A	C	A	C	A	A	A	B	A	A	A	B	F	B	B	C	B	C	C	B	C	B	C	C	C	B	B	C	A	B	B	C	C	B	A	A	A	C	B	C	C	C	C	C	A	C	B	C	F	F	F	×	F	F	F	A	F	C	F	F	B	A	A	A	F	C	F
35	B	C	A	B	A	B	C	C	A	B	F	F	F	F	A	A	A	A	A	A	F	A	B	A	A	F	F	C	B	C	C	F	B	F	C	C	C	C	F	F	B	C	C	B	A	B	A	A	B	A	A	A	C	A	C	A	A	A	B	A	A	A	B	F	B	B	C	C	C	C	B	B	B	C	C	C	B	B	C	B	A	A	F	B	A	B	B	B	F	B	F	F	F	F	F	A	F	B	C	F	F	F	×	F	F	F	C	F	F	C	C	F	C	C	C	F	C	F
36	A	A	C	C	A	A	A	A	A	A	F	F	F	F	A	A	A	A	A	A	C	A	B	A	A	C	B	B	B	F	B	B	A	B	C	C	C	C	C	C	B	C	C	B	A	C	A	A	B	A	A	A	C	A	C	A	A	A	A	A	A	A	C	F	B	B	B	B	C	C	A	C	B	C	C	C	A	B	C	B	C	B	A	C	F	B	B	B	A	A	B	B	B	C	F	B	F	B	C	F	F	F	×	F	B	F	A	C	C	F	F	F	A	A	A	F	B	F
37	F	F	F	F	C	C	F	B	C	F	F	F	A	F	B	A	B	B	B	A	C	F	F	B	B	F	F	C	F	F	C	F	F	F	C	C	C	F	F	F	F	F	B	F	F	C	F	B	F	F	F	F	C	F	B	B	B	F	C	B	B	F	C	F	F	F	C	B	A	B	C	F	C	B	B	B	B	F	B	C	C	F	F	B	F	F	C	C	F	F	C	F	F	F	F	C	F	F	B	F	F	F	×	F	F	F	A	C	F	F	F	F	A	A	A	F	C	F
38	B	C	C	B	B	C	C	B	A	B	F	F	F	F	B	C	A	A	A	C	C	B	B	B	B	F	C	C	C	F	C	C	C	B	C	C	F	C	C	F	F	C	C	F	A	C	A	A	B	B	A	A	C	A	C	A	A	A	B	A	C	A	A	F	F	F	A	A	A	A	B	C	A	B	A	B	A	A	A	A	C	C	C	A	B	B	A	A	A	B	A	A	A	A	B	B	B	C	C	F	F	F	×	F	B	F	C	C	C	F	F	B	C	C	C	C	A	F
39	B	B	B	B	A	C	B	B	B	B	C	F	B	F	F	A	C	C	F	A	F	B	F	F	F	F	C	C	B	F	C	C	B	C	C	C	F	C	F	F	F	C	C	F	C	B	A	F	B	C	C	C	B	C	C	F	C	C	B	F	A	C	B	F	F	F	C	B	B	B	C	F	C	C	B	C	C	B	B	A	A	A	C	C	B	B	A	A	B	B	A	A	A	A	C	B	C	B	C	F	F	F	×	F	C	F	F	F	F	A	A	F	F	F	F	C	F	F
