编号	价格	描述	入手条件	几部分	已购	衣服说明中的缩放比例	衣服说明中的坐标	衣服坐标	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83
1056	9999999	柔软可爱的头发~非常具有时尚气息哦！强力推荐！		1	NO	1	284,366	334,94	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B
1057	9999999	是不是和偶像一样可爱呢？		1	NO	1	278,362	318,104	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B
2042	9999999	有点性感的圣诞老人也还不错吧~		1	NO	1	296,334	364,256	C	F	B	B	F	B	C	B	B	C	F	B	B	A	C	C	F	B	C	F	C	F	A	C	B	F	C	C	F	F	B	B	B	B	F	C	B	B	B	C	B	F	C	C	B	F	F	F	A	B	B	C	F	B	F	F	B	C	A	B	B	C	F	B	A	B	F	B	B	C	C	B	C	B	B	B	C	A	C	B	A	A	A
2043	9999999	怀里抱着白狐的雪之女王出现也不过如此吧。		1	NO	1	286,318	342,212	C	F	C	B	F	C	C	A	B	C	F	C	A	A	A	C	C	C	C	B	F	C	C	B	C	F	C	C	F	F	C	B	B	F	F	C	B	C	B	B	C	A	F	C	A	C	F	F	A	A	A	A	F	C	C	F	A	A	C	A	C	B	F	A	C	B	F	B	A	B	C	B	F	B	C	B	F	A	C	C	A	A	A
3016	9999999	经常看到小朋友穿的圣诞装，就算是大人也想再穿试看看！		1	NO	1	290,394	334,222	C	F	C	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	B	F	C	C	C	F	C	C	C	C	C	C	C	C	C	C	F	C	F	C	C	C	C	C	C	C	C	F	B	C	B	C	C	C	F	F	C	C	B	C	C	C	F	C	B	C	F	C	B	C	C	C	B	C	C	C	B	C	C	C	A	A	B
3017	9999999	可爱的外套，可能比较难搭配，但穿的好的话就是时尚达人哦。		1	NO	1	276,364	324,212	C	F	C	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	B	F	C	C	C	F	C	C	C	C	C	C	C	C	C	C	F	C	F	C	C	C	C	C	C	C	C	F	B	C	B	C	C	C	F	F	C	C	B	C	C	C	F	C	B	C	F	C	B	C	C	C	B	C	C	C	B	C	C	C	A	A	B
4039	9999999	"穿上这件衣服一定会被身边的人说""好像圣诞老人""吧？"		1	NO	1	290,326	344,226	C	F	B	F	B	B	C	B	C	C	F	B	B	A	C	C	F	B	C	F	C	F	A	C	B	F	C	C	F	F	B	B	B	B	F	C	F	B	C	C	B	F	C	C	B	F	F	F	B	B	B	C	F	B	F	F	B	C	B	B	B	C	F	B	B	B	F	B	B	C	C	B	C	B	B	B	C	B	C	B	A	A	B
4040	9999999	无袖的衬衣非常的特别，搭上一件小外套就无敌啦！		1	NO	1	278,386	334,236	C	C	C	B	B	F	B	B	C	C	C	B	B	C	B	B	B	B	B	C	A	C	B	C	B	B	B	B	B	B	B	B	C	B	B	B	F	B	B	B	B	B	B	B	C	B	B	C	B	C	F	B	B	B	B	C	C	B	B	B	B	B	F	C	B	B	C	B	C	B	C	C	B	B	B	B	B	B	B	B	A	A	B
4041	9999999	非常特别的圣诞老人装，很性感吧？		1	NO	1	276,372	334,206	C	F	B	B	F	B	C	B	B	C	F	B	B	A	C	C	F	B	C	F	C	F	A	C	B	F	C	C	F	F	B	B	B	B	F	C	B	B	B	C	B	F	C	C	B	F	F	F	A	B	B	C	F	B	F	F	B	C	A	B	B	C	F	B	A	B	F	B	B	C	C	B	C	B	B	B	C	A	C	B	A	A	B
5038	9999999	感觉是经常穿的裤子，裤子上的亮片是亮点哦！		1	NO	0.7	256,312	330,390	C	F	B	F	A	B	C	B	C	C	F	B	B	B	C	C	F	B	C	F	C	F	A	C	B	F	C	C	F	F	A	B	B	B	B	C	F	B	C	C	B	F	C	C	B	A	B	B	C	B	F	F	A	B	A	B	B	C	C	B	B	C	F	B	B	B	F	B	B	C	C	B	C	B	B	B	C	B	C	B	A	A	B
