编号	价格	描述	入手条件	几部分	已购	衣服说明中的缩放比例	衣服说明坐标	真实坐标（右上角）
1100	5500	凸显浪漫温柔气质的发型，令人萌生保护欲。		1	NO	1	420,328	454,80
1101	8000	“这么长的头发洗起来一定很麻烦吧。”“快给我停止煞风景的揣测！”		2	NO	0.6	330,318	454,80
1102	600	为了掩盖理发的失败，理发师附赠了帽子。“唔，看上去意外地不错呢~”		1	NO	1	420,328	454,80
1103	5500	俏皮丸子头加上休闲棒球帽。据说是一种低调的……可爱？		1	NO	1	420,328	454,80
1104	600	“热情！独特！可男可女！”“欸？好像有什么奇怪的东西混进去了……”		1	NO	1	420,328	454,80
1105	1500	姐姐告诉暖暖梳一个清爽简练的发型，能够令她显得聪明一些。		2	NO	1	420,328	454,80
1106	8000	发型师花了整整三个小时才完成的盘发，看起来果真有大家闺秀的感觉呢。		1	NO	1	420,328	454,80
1107	600	据说是从暖暖奶奶的妈妈那里流传下来的假发。什么时候能够用到它呢？		1	NO	1	420,328	454,80
1108	1500	俏皮的双马尾配上纯白可爱的绒球，这是赤裸裸的装嫩！		1	NO	1	420,328	454,80
1109	9999999	微风吹拂下展现奇妙律动感的浪漫长发，据说是发型师的得意之作。	成就5	2	NO	1	420,328	454,80
2100	3000	“温柔的巫女大人，请赐我一年份的五花肉。”		1	NO	0.5	308,260	454,80
2101	9999999	水晶鞋被裙摆挡住了，王子殿下请快些出现吧~	成就8	1	NO	0.5	298,238	454,80
2102	3000	凸显身材的性感连衣裙，曾经是姐姐的最爱，如今送给了暖暖。		1	NO	1	412,194	454,80
2103	10000	穿上它费了点劲，不过一切努力都是值得的！		1	NO	0.5	306,272	454,80
2104	800	“为什么护士服要做成修身款？”“据说会减少病人打针时的疼痛。”		1	NO	1	412,174	454,80
2105	4500	由于是收腰的衣服，穿的时候要记得控制饮食哦~		1	NO	1	398,150	454,80
2106	1200	打包衣服的时候，不小心把妈妈的衣服也塞进了行李。		1	NO	0.9	378,188	454,80
2107	800	凸显少女气质的粉红色连衣裙，羊绒的材质即使在冬天穿也不会冷。		1	NO	1	398,150	454,80
2108	3000	这条裙子的价格可不像外观那么低调哦，因为用了很好的料子。		1	NO	0.9	378,188	454,80
2109	4500	“为什么会有黑色伴娘裙？”“才……才不是伴娘裙呢！”		1	NO	1	398,150	454,80
2110	9999999	华丽与浪漫的代名词，仿佛能够带你飞向月球。	成就7	1	NO	0.5	302,272	454,80
2111	3000	穿上它，门门功课都能拿A!		1	NO	1	398,150	454,80
2112	2200	“乖乖女”毛衣，穿上它就不会被冻感冒了！		1	NO	1	398,150	454,80
2113	2200	OL风长外套，凸显成熟气质。		1	NO	0.9	378,188	454,80
2114	2200	黑色透明雪纺是这条裙子的点睛之笔，为你增添一份小性感。		1	NO	0.9	378,188	454,80
3100	8000	充满神秘感的长斗篷，宛如进入异世界。		2	NO	0.5	302,272	454,80
3101	8000	要风度不要温度？NONONO!穿上我，你可以同时拥有它们。		1	NO	1	412,204	454,80
3102	1000	休闲款式的西装，让你显得能干的同时不会带来沉闷感。		2	NO	1	398,150	454,80
3103	3000	如果你想知道这件衣服的过去的话，悄悄地告诉你它的前生是一件校服。		2	NO	1	398,150	454,80
3104	3000	去和北极熊打声招呼吧！它们会以为出现了同类。		2	NO	0.8	366,304	454,80
3105	3000	温暖双排扣呢大衣——冬季必备！		1	NO	1	398,150	454,80
3106	1000	适合春季的针织衫，水蓝色的色调给人一种浪漫的感觉。		1	NO	1	398,150	454,80
3107	4000	气场十足的长款外套，让你一秒化身女强人。		2	NO	0.9	378,188	454,80
3108	7200	暖暖很喜欢的一条裙子，不过一直找不到机会穿上它，一时脑热是要不得的。		1	NO	0.9	378,188	454,80
3109	500	一天之计在于晨，穿上它去公园练习晨跑再合适不过了。		1	NO	1	398,150	454,80
3110	500	商场大促销的时候买的衣服，以价格来说还算合理。		1	NO	1	398,150	454,80
3111	6000	带点中性风的长外套，拼色是一大亮点。		2	NO	0.8	364,216	454,80
3112	1000	暖暖开心地买回家后，才发现店员搞错了衣服的颜色。		2	NO	1	398,150	454,80
3113	6000	蝴蝶结与波点也能中国风！		1	NO	1	398,150	454,80
4100	10000	异域风情满载，和着音乐跳支舞吧。		2	NO	0.5	290,258	454,80
4101	2000	中性风的时尚休闲外套，穿上它让人感觉无拘无束。		1	NO	1	410,186	454,80
4102	500	准备好成为一个志愿者了吗？那就像我一样戴上牌子。		1	NO	1	410,186	454,80
4103	6000	Ladies and gentlemen！准备好进入一场华丽的魔法秀了吗！？		1	NO	1	410,186	454,80
4104	3000	准备好了吗？让我们试试看谁先登上山顶。		1	NO	1	410,186	454,80
4105	3000	衬衫配毛衣，走遍校园都不怕！		1	NO	1	410,186	454,80
4106	2000	快点把你的外套脱下来！这样就失去穿抹胸的意义了！		1	NO	1	410,186	454,80
4107	500	经典的黑白条纹，弹性贴身的面料使得俏皮感跃然而出。		1	NO	1	410,186	454,80
4108	2000	衣服上印着的是雪花图案，不过轻薄的面料不适合在冬天穿着它。		1	NO	1	410,186	454,80
4109	9999999	姐姐在商场买了一件白衬衫，然后把它改造成了现在的样子。	成就6	1	NO	1	410,186	454,80
4110	3000	适合夏季出行的露肩款上衣。		1	NO	1	410,186	454,80
4111	500	你确定要把这件衣服穿出去吗？难道它不是一件睡衣吗？		1	NO	1	410,186	454,80
4112	700	无法取舍白色与粉色，于是暖暖把两件都买下来了，现在还在纠结该穿哪件。		1	NO	1	410,186	454,80
4113	8000	华丽款外套，日常穿也没有问题，不过要小心不要被当做酒店服务生哦~		1	NO	1	410,186	454,80
4114	2000	图案是……小鸡啄米？笨蛋！是翱翔在天空中的飞鸟啦！		1	NO	1	410,186	454,80
4115	5000	满月之力，赐我变身魔法少女！		2	NO	0.9	396,194	454,80
4116	5000	挡不住的无敌青春可爱气息迎面而来！		1	NO	1	410,186	454,80
4117	3000	大喵始终无法理解为什么人类要把地板的瓷砖图案穿到身上。		1	NO	1	410,186	454,80
4118	700	“有种温柔治愈的感觉。”“确定这不是护士服的某个变种吗？”		1	NO	1	410,186	454,80
4119	700	“把文章抄在衣服上难道是人类的一大怪癖吗？喵~”		1	NO	1	410,186	454,80
4120	500	要是白天也能看到星星的话，天空一定是这种模样的吧。		1	NO	1	410,186	454,80
4121	2000	黑白是永恒的经典。据说这件背心还能抵御吸血鬼？		1	NO	1	410,186	454,80
4122	9999999	“妈妈特地寄过来的衣服。”“确定这不是妈妈穿了很多年的那件衣服吗？”	成就7	1	NO	1	410,186	454,80
4123	2000	“姐姐你没有骗我吗？这真的是这件衣服的正确穿法吗？”		1	NO	1	410,186	454,80
5100	10000	喝下一整瓶的葡萄酒，才能够有勇气穿这条裤子呢。		1	NO	1	388,104	454,80
5101	500	偶尔也要挑战亮色系！穿上它令人无所畏惧！		1	NO	0.7	334,126	454,80
5102	9999999	自从穿上它，腰也不酸了，腿也不抖了，一口气上山顶，不费力！	成就5	1	NO	0.7	334,126	454,80
5103	2000	裙子的颜色有点挑战性，要不要试试看接受挑战呢?		1	NO	1	388,64	454,80
5104	2000	低调的蓝黑色，给人文静之感。		1	NO	1	388,64	454,80
5105	8000	层层叠叠的蛋糕裙，令人食欲大增！		1	NO	1	388,64	454,80
5106	6000	欧式复古名媛风短裙，玫瑰图案令人心跳加速。		1	NO	1	388,64	454,80
5107	9999999	能跑能跳可俏皮可休闲可浪漫的外能裙裤！	成就3	1	NO	1	388,64	454,80
5108	500	“任何人的衣橱里面都应该有这样的一条修身百搭水洗牛仔裤。”		1	NO	0.7	334,126	454,80
5109	2000	中性俏皮的灯笼裤。“难道不是南瓜裤吗？”		1	NO	1	388,64	454,80
5110	2000	纯白短裙凸显浪漫气质，要小心保护不能弄脏哦~		1	NO	1	388,64	454,80
5111	8000	英伦风格纹配缎带花边，谁说学院风不能有俏皮感？		1	NO	0.8	350,156	454,80
5112	3000	粉嫩嫩的短裙，超级乖乖女的感觉！		1	NO	1	388,64	454,80
5113	2000	娴静气质的水绿色纱裙，有能让人变温柔的魔力，要小心这使用种力量哦！		1	NO	1	388,64	454,80
5114	500	姐姐减肥成功前买的衣服，现在太大了，裤脚得要卷起来。		1	NO	0.7	334,126	454,80
5115	2000	西瓜色纱裙，感觉就像西瓜汁一样甜甜的。		1	NO	1	388,64	454,80
5116	3000	无论做什么都可以的牛仔短裤。姐姐一口气买了5条，其中一条送给暖暖。		1	NO	1	388,64	454,80
5117	3000	这条裙子的名字叫做“星之梦”，是个浪漫的名字吧~		1	NO	1	388,64	454,80
5118	6000	“确定你不是把发霉的裤子卖给我吗？给我算便宜些吧。”暖暖说。		1	NO	1	388,64	454,80
5119	8000	适合展现美腿线条的短裙，黑色就是怎么穿都不会错。		1	NO	1	388,64	454,80
5120	2000	暖暖的记性真的没救了，比如她又买了同种款式的两条裙子，只是颜色不同。		1	NO	1	388,64	454,80
5121	500	从这条裤子被压在衣柜底层这点来分析，你一定很久没有做运动了！		1	NO	0.7	334,126	454,80
5122	9999999	“这条裙子像桌布？”“你不了解其中的奥妙！”姐姐把裙子强卖给了暖暖。	成就7	1	NO	0.7	334,126	454,80
5123	3000	用某条像桌布的牛仔长裙改造成的短裙。“这下看上去正常多了。”		1	NO	1	388,64	454,80
5124	2000	暖暖特地去男装店买的裤子，给人一种倔强的感觉。		1	NO	1	388,64	454,80
5125	3000	优雅是优雅，不过要找到与之搭配的上衣着实需要费点劲呢。		1	NO	0.5	296,216	454,80
5126	2000	修身款九分裤，适合某些略微严肃的场合。		1	NO	0.7	334,126	454,80
6100	8000	你说这是一条适合圣诞节的梦幻的长袜？骗人，明明不能把礼物塞进去。		1	NO	0.5	296,216	454,80
6101	5000	会让人不由自主地盯着看，因为想要弄明白那串文字是什么意思。		1	NO	0.5	296,216	454,80
6102	10000	总会有善良的人们提醒你——这条袜子被划破了。		1	NO	0.5	296,216	454,80
6103	800	蝴蝶结是制造可爱的不二法宝！		1	NO	1	426,666	454,80
7100	3000	穿上它去日式的庭院走走吧，不过要小心不要把白袜子弄脏了。		1	NO	1	426,588	454,80
