编号	标题	名字	表情	内容
1	懒洋洋的休息日	苏暖暖	1	休息日懒在家里的感觉真好呀。不想动。
		苏暖暖	3	咕……咕……
		苏暖暖	3	肚子饿了……下楼随便吃点吧。喂喂，大喵，跟我去吃饭？
		大喵	2	跟穿睡衣的人去吗？……不要。
		苏暖暖	1	呐……你说穿什么呢？大家不都这么穿的吗？
		大喵	2	正常点好吗？
		苏暖暖	1	就在家附近随便吃点，舒服，宽松是第一位嘛，不要在意啦。
2	好热，去游泳吧	苏暖暖	3	大热天的真不想动啊。
		大喵	3	那就和我一起宅一个暑假吧！
		苏暖暖	4	不行，会胖的，我要运动！
		大喵	3	那……祝你跑步愉快。
		苏暖暖	5	夏天当然要去游泳啦，你看我潜水镜都准备好了。
		大喵	2	你别一激动就穿泳衣出去了啊。
		苏暖暖	5	你才会穿着泳衣出门！日常装扮就好了吧，泳衣嘛，带着就行~
3	晚礼服光辉下的幸运儿①	大喵	1	今天又不陪我一起宅吗？
		苏暖暖	1	整天宅着多无聊，今天说好了和姐姐一起去逛街的。
		大喵	4	啊，记得带一斤五花肉回来。
		苏暖暖	1	……我是去买衣服，不是逛菜场！
		大喵	4	超市也有五花肉的嘛。
		苏暖暖	1	……我逛的是服装店啊！
		大喵	2	小气鬼喝凉水。
		苏暖暖	4	……我还是换衣服去吧，穿什么好呢？逛服装店的话怎么样都要穿得百搭一点吧。
		大喵	2	祝你的衣服被撕烂。
4	三国杀玩起来！	苏暖暖	1	冷冷她们玩三国杀七缺一！打电话叫我去呢。
		大喵	2	别去丢脸啦……
		苏暖暖	3	干嘛啦！我玩的还好啦。虽然有时候杀自己人……矮油这种小事又不要紧，抽到内奸不就好了。
		大喵	2	要穿古装去么你？
		苏暖暖	2	啊！你怎么知道！这次除了三国杀还是古装趴哦。不知道有没有古装，复古点的长裙也行吧……
5	夜幕下的甜蜜回忆①	苏暖暖	6	大喵！！我跟你说啊，好可怕，今天放学回来时候好像有个黑影跟着我！
		大喵	3	那只是一个人走夜路的疑神疑鬼而已啦！
		苏暖暖	6	才不是！！因为社团活动的原因我每周都要走夜路的好吗！早就习惯了好吗！
		大喵	2	真有黑影的话，他图什么跟着你？！你有钱吗！有姿色吗！有国家机密吗！
		苏暖暖	1	姿色的话还是……嘿嘿。
		大喵	2	只有这点是不可能啦……
		苏暖暖	6	胡说什么！
		大喵	2	那你穿得土一点丑一点让人一看就内心不快的样子看看黑影还会不会跟着你吧！
6	试试女仆装卖个萌	苏暖暖	2	下周要和几个同学一起去漫展呢！
		大喵	3	啊，好不容易拿到的生活费又要在瞬间没有了吗？
		苏暖暖	3	才不是，说好了一起开女仆咖啡店。
		大喵	5	（噎……）。
		苏暖暖	3	你说穿黑丝好呢还是白袜子好呢？
		大喵	5	（噎……）。
		苏暖暖	3	大喵！
		大喵	3	哎……我觉得只要穿得够萌够女仆就没问题了，这种东西我也不是很拿手……
7	夜幕下的甜蜜回忆②	苏暖暖	6	…………（快步走）。
		苏暖暖	6	……………………（加快脚步）。
		苏暖暖	6	喂！！！！！！！！！！！！！！！！！！！
		江川南	2	啊！！！你你你干嘛，你想干嘛。
		苏暖暖	6	应该是我问你才对，这两天你跟踪我是想干嘛！？流氓！
		江川南	1	我不是流氓。自我介绍一下，我叫江川南，是一名侦探。
		苏暖暖	6	好难听的名字啊。
		江川南	1	事情是这样，你每周四五的晚上10点左右一定会穿过这个公园回家，没错吧？
		苏暖暖	4	是啊……因为社团活动所以比较晚……
		江川南	1	一个月前在这个公园发生了一起谋杀案，时间就在周五晚上十点……
		江川南	1	……你可能是唯一的目击者。请你回忆一下当晚的情况。
		苏暖暖	4	谋杀案？我怎么没听说……回忆不出来！
		江川南	1	什么？你这是对待案件的态度吗？！
		苏暖暖	4	完全没印象！
		江川南	1	啊啊啊！！唯一的目击者竟然会……真是意料之外。
		江川南	1	因为你的粗心大意给办案增加了难度，对此你必须进行补偿！
		苏暖暖	6	补偿？什么玩意儿！
		江川南	1	快去换身和名侦探的助手的身份相称的衣服来！我在这里等你！
		苏暖暖	6	不要！
		江川南	1	难道你不想和名侦探携手并肩，为正义而战吗！这个国家的未来全都托付在你的肩上了！少女！
		苏暖暖	2	好！！
8	爸爸的摄影展	苏暖暖	3	紧张紧张紧张紧张。
		大喵	3	你一个上午都在那里神神叨叨地干什么？
		苏暖暖	6	紧张紧张紧张紧张紧张。
		大喵	5	在念什么咒语吗？
		苏暖暖	3	还有一个小时……爸爸的摄影展就开始了！
		大喵	3	又不是你的摄影展。
		苏暖暖	3	可是我还是要露面的呀！
		大喵	2	既然知道要露面，怎么还穿得这么乡村……快把你的头巾拿下来！
		苏暖暖	4	什么头巾？啊！这是围巾！这这这怎么兜头上去了……
		大喵	2	尽量穿得优雅点吧。好吧，虽然我知道你怎样都优雅不起来……
9	偶尔也可以尝试下酒吧	苏暖暖	4	大喵……
		大喵	2	干嘛？
		苏暖暖	1	我想去酒吧……
		大喵	5	放弃你小清新的形象了吗？
		苏暖暖	1	矮油，偶尔去下没关系的啦。
		大喵	2	反正我不去，那种嘈杂的环境最讨厌了。
		苏暖暖	5	可是穿什么好呢，听说要穿得open一点，不过还是感觉好紧张啊……
10	晚礼服光辉下的幸运儿②	苏暖暖	1	诶，这家服装店的款式好别致，不如先进去逛逛好了，姐姐应该不会怪罪的。
		导购		导购：欢迎光临，需要什么样的款式？
		苏暖暖	1	随便看看就好。
		导购		导购：这些都是春季新款，很轻薄很舒服的。
		大喵	2	（祝你的衣服被撕烂）。
		苏暖暖	3	（突然觉得一阵恶寒）虽然觉得很好看，但我还是试试比较结实的衣服好了……
		导购		导购：结实的吗……
		苏暖暖	3	惨了，约好的两点，现在已经两点半了！要快点了！
11	果然还是很期待春游啊	大喵	1	干嘛呢，从回家起就一直在傻笑。
		苏暖暖	2	学校要组织春游，突然感觉整个世界都明亮了。
		大喵	2	说得好像平时没得玩似的……
		苏暖暖	2	矮油，和同学一起去玩的感觉特别好，你能明白吗？
		大喵	3	在家睡觉的感觉最好。
		苏暖暖	2	零食零食，我的零食！
		大喵	5	你把高跟鞋放在外面干什么！
		苏暖暖	2	不觉得这双白色高跟鞋很上照吗？
		大喵	2	要穿高跟鞋去游山玩水的话……随便你……祝你明天掉鞋跟。
		苏暖暖	4	讨厌，还是要穿平底鞋？嗯……天气预报说明天气温挺高，就穿轻薄一点的衣服好了！
12	夜幕下的甜蜜回忆③	苏暖暖	2	真让人兴奋啊，好像成了推理游戏的女主角一样！
		大喵	2	不要被杀掉就好了……
		苏暖暖	2	女主角死不了啦。我走了！
		苏暖暖	2	（数分钟后）侦探先生你在吗？
		江川南	1	嗯。很好！让我们迅速进入案情分析。
		江川南	1	本案的嫌疑人有三名。他们都对被害者抱有不同程度的怨恨。
		江川南	1	但是这三人都很难接近。为了搜集线索必须由你出马！
		苏暖暖	2	我？我有这么可靠吗……
		江川南	1	当然了！因为你有别人所没有的长处……
		江川南	1	喜欢把衣服换来换去的你，对于潜入搜查来说简直是天下至宝！
		苏暖暖	3	怎么说呢……好像不是很悦耳的夸奖……
		江川南	1	第一人是某企业职工，零存在感的宅男一个，过着两点一线的生活，想和他搭话一定会被躲避。
		江川南	1	唯一的办法是潜入他经常光顾的女仆咖啡，据说他只要到了那里就会滔滔不绝。
		苏暖暖	3	我不行吧……这种事情……
		江川南	1	我更不行嘛，扮成女仆会被赶出来的！
13	要去拍照了！	苏暖暖	2	爸爸说同里油菜花开得很好，明天要带我去拍照呢！
		大喵	1	拍照啊，还是穿鲜艳一点好。
		苏暖暖	2	最喜欢鹅黄的衣服了！
		大喵	3	你是要和油菜花融为一体吗！
