编号	标题	名字	表情	内容	英文
81	メリークリスマス1	苏暖暖	2	大喵，马上就要圣诞节了耶，你打算怎么过？	
		大喵	4	准备把袜子挂在床头等你给我塞五花肉。	
		苏暖暖	6	……那不是圣诞老人做的事吗？	
		大喵	2	不要拿这种糊弄小孩的东西来糊弄我	
		苏暖暖	3	可是我又不是圣诞老人……	
		大喵	1	总之我第二天醒来要看到五花肉。	
		苏暖暖	4	这种事还是圣诞老人做比较好吧……	
		大喵	1	我不介意你打扮成圣诞老人给我送五花肉的。	
		苏暖暖	6	我可没答应啊……	
		大喵	4	就这么愉快地决定了！Zzzzzz...	
82	メリークリスマス２	苏暖暖	2	明天我们班要进行圣诞狂欢呢！	
		大喵	2	可是和我有什么关系？	
		苏暖暖	2	呃……难道你一点都不激动吗？	
		大喵	2	有好吃的吗？	
		苏暖暖	2	当然有！老师准备了好多呢！	
		大喵	5	暖暖的话一定会把好吃的全吃光的。	
		苏暖暖	4	会给你带一点回来的啦。	
		大喵	3	真是太无情了。	
		苏暖暖	3	你到底有没有在听我讲话啊……	
		大喵	4	为了报复你我决定当天把冰箱里的东西全都吃掉。	
		苏暖暖	1	好啦好啦，当天带你一起去好了。	
		大喵	4	不、不要，我要把冰箱里的东西全部吃掉。	
		大喵	4	你去准备明天的衣服就好，不用眼睁睁看着这残忍的一幕发生了。	
		大喵	2	看，我是多么的善良啊~	
		苏暖暖	4	喂……	
		大喵	4	至少要穿得圣诞一点啊，这样回来看到空了的冰箱表情才不会显得那么悲伤。	
83	Happy new year！	苏暖暖	2	嘿嘿嘿~	
		大喵	2	呃……你在诡异的高兴什么？	
		苏暖暖	2	你没听说吗？二月要更新版本了哦！	
		苏暖暖	2	会有好多新衣服，而且我们的故事也会增加哟！	
		苏暖暖	2	"听说""coming soon""的地方也要开放啦~！"	
		大喵	2	呃……又要看你穿着各种奇怪的衣服出入在各个场合了吗……	
		苏暖暖	1	总，总之我是很期待的！	
		苏暖暖	1	对了，今天我要穿什么衣服来迎接新版本呢~？	
		大喵	2	做广告也不忘换衣服吗……真是敬业呀，女主角大人。	
