编号	标题	名字	表情	内容
84	樱花树下的巫女	大喵	2	喂，你不找点事儿干吗？我都好久没吃五花肉了！
		苏暖暖	2	春假嘛，就是应该在家里发呆！
		大喵	2	吃了睡睡了吃可是会长胖的！
		苏暖暖	6	那怎么办嘛！
		大喵	4	我听说日本有神社在招打工呢。
		苏暖暖	1	神社的打工会是什么样子呢……
		大喵	4	是巫女呀！巫女！想象一下自己扮成巫女手握长弓站在樱花树下的样子吧！
		苏暖暖	2	我要去我要去！一定很帅！我应该穿什么去应募呢……
		大喵	4	有巫女的衣服是最好吧。不然的话能展现传统美的衣服也可以。
85	赏樱大会	苏暖暖	2	妈妈说明天全家人一起去公园赏花！
		大喵	3	我突然有个疑问。
		苏暖暖	2	啥？
		大喵	3	为什么每年都要去赏花呢？去年不是赏过了吗？
		苏暖暖	4	是啊……上学放学，上班下班的路上都能停下来赏花的呢……
		大喵	3	嗯……那为什么要特地去赏花呢……
		苏暖暖	2	那么……赏花大概就是全家人其乐融融吃吃喝喝的活动吧！
		大喵	1	这样啊！恨不得每天都去！！！
		苏暖暖	2	是吧是吧！穿什么去呢……有点想试试和服呀汉服呀这种亚洲的传统服饰。
		大喵	1	没有传统服饰的话干净素雅不要太夸张的衣服也行。
86	Pink Fantasy1	苏暖暖	1	那个……
		少年	2	你就是苏暖暖吧。
		苏暖暖	4	诶？不是你塞给我纸条的吗，怎么又……
		少年	2	我注意你好久了！
		苏暖暖	4	是、是吗？^^b
		少年	1	听说你明天要表演话剧。
		苏暖暖	5	是、是诶，被你这么一提醒的话突然有点紧张……
		少年	2	据说还是个白袍法师呢！
		苏暖暖	5	嗯，第一次尝试这个角色，我还有点……
		少年	2	我很看好你的哦！
		苏暖暖	4	诶？
		少年	3	根据我对你的观察，你很适合法师这个职业！（严肃脸）
		苏暖暖	1	虽然这话听起来有点奇怪，但是还是谢谢你啦……
		少年	3	所以为了不辜负我对你的期待，你快点换了衣服去排练吧！
		少年	3	期待你明天的成功演出！演出后我在小剧场外面等你~
		苏暖暖	3	什、什么啊，这种奇怪又不安的感觉是怎么回事？话说这个人到底是谁啊……
87	去泡温泉	苏暖暖	2	这个季节去泡温泉最舒服不过了！
		大喵	2	说起温泉我一直有一个疑问。
		苏暖暖	2	你最近疑问很多嘛。
		大喵	3	去泡温泉的话，我应该进男的一边呢还是女的一边呢……
		苏暖暖	2	其实这个问题也不是很困扰啦。
		大喵	3	喵？
		苏暖暖	2	妈妈说你留下来看家，所以不用困扰这个问题……
		大喵	5	你们这群没良心的啊！！！！！
		苏暖暖	2	天气还是有点凉，不要穿太薄的衣服出门就可以了，哈哈。
88	Pink Fantasy2	苏暖暖	1	啊，你来得好早啊~
		少年	4	那是必然的，因为一想到这件事情就让我激动不已，连觉都睡不好。
		少年	4	但是啊那是件秘密，不能在人多的场合说，所以才把你约来这里。
